,Paul,home_score,away_score,Bosse
QB1,Garrett Gilbert - ORL,14.36,3.64,Logan Woodside - SA
RB1,"Kenneth Farrow, II - SA",15.000000000000002,5.4,Zac Stacy - MEM
WR1,Seantavius Jones - ATL,0.0,14.7,Rashad Ross - ARI
WR2,Quinton Patton - BIR,2.7,2.9000000000000004,Mekale McKay - SA
FLX1,Branden Oliver - SL,9.100000000000001,6.3,Terrell Watson - SD
TE1,Brandon Barnes - MEM,0.0,6.9,"Wes Saxton, Jr.  - BIR"
DST1,MEM,12,7,ORL
K1,Elliott Fry - ORL,6.0,2.0,Nick Folk - ARI
Total Score,,59.160000000000004,48.839999999999996,
,,,,
BE1,Aaron Murray - ATL,15.56,9.0,Joel Bouagnon - SL
BE2,Brandon Ross - BIR,5.1000000000000005,5.1000000000000005,De'Veon Smith - ORL
BE3,Akeem Hunt - ORL,11.9,9.1,Trey Williams - SA
