,Ryan,home_score,away_score,Mckaig
QB1,John Wolford - ARI,12.8,6.44,Josh Woodrum - SL
RB1,Tarean Folston - ATL,11.200000000000001,13.7,Trent Richardson - BIR
WR1,Charles Johnson - ORL,15.0,2.9000000000000004,Alonzo Moore - SA
WR2,Malachi Jones - ATL,6.0,4.7,Jalin Marshall - ORL
FLX1,Jhurell Pressley - ARI,14.3,6.5,D'Ernest Johnson - ORL
TE1,Nick Truesdell - SL,1.5,2.5,Gavin Escobar - SD
DST1,SD,7,4,BIR
K1,Nick Novak - BIR,3.0,5.0,Younghoe Koo - ATL
Total Score,,70.8,45.739999999999995,
,,,,
BE1,Kenny Bell - SL,4.0,0.0,Kameron Kelly - SD
BE2,Nelson Spruce - SD,2.2,0.0,Josh Huff - Josh Huff
BE3,Ja'Quan Gardner - SD,2.9000000000000004,0.0,Brian Brown - SD
