,Paul,home_score,away_score,Mckaig
QB1,Garrett Gilbert - ORL,21.240000000000002,18.3,Josh Woodrum - SL
RB1,"Kenneth Farrow, II - SA",13.3,13.8,Trent Richardson - BIR
WR1,Seantavius Jones - ATL,11.4,6.7,Alonzo Moore - SA
WR2,Quinton Patton - BIR,6.6,5.2,Jalin Marshall - ORL
FLX1,Branden Oliver - SL,0.0,12.700000000000001,D'Ernest Johnson - ORL
TE1,Brandon Barnes - MEM,0.0,0.0,Gavin Escobar - SD
DST1,MEM,6,1,BIR
K1,Elliott Fry - ORL,9.0,9.0,Younghoe Koo - ATL
Total Score,,67.54,66.70000000000002,
,,,,
BE1,Aaron Murray - ATL,17.54,0.0,Kameron Kelly - SD
BE2,Brandon Ross - BIR,10.3,0.0,Josh Huff - Josh Huff
BE3,Akeem Hunt - ORL,0.0,6.800000000000001,Brian Brown - SD
