,Ryan,home_score,away_score,Bosse
QB1,John Wolford - ARI,18.84,18.9,Logan Woodside - SA
RB1,Tarean Folston - ATL,25.6,21.6,Zac Stacy - MEM
WR1,Charles Johnson - ORL,19.3,21.1,Rashad Ross - ARI
WR2,Malachi Jones - ATL,4.1,17.6,Mekale McKay - SA
FLX1,Jhurell Pressley - ARI,4.7,3.1,Terrell Watson - SD
TE1,Nick Truesdell - SL,16.1,9.0,"Wes Saxton, Jr.  - BIR"
DST1,SD,25,14,ORL
K1,Nick Novak - BIR,-1.0,3.0,Nick Folk - ARI
Total Score,,112.63999999999999,108.3,
,,,,
BE1,Kenny Bell - SL,5.7,17.2,Joel Bouagnon - SL
BE2,Nelson Spruce - SD,6.7,11.9,De'Veon Smith - ORL
BE3,Ja'Quan Gardner - SD,3.4000000000000004,3.5,Trey Williams - SA
