,Bosse,home_score,away_score,Mckaig
QB1,Logan Woodside - SA,17.060000000000002,17.72,Josh Woodrum - SL
RB1,Zac Stacy - MEM,11.8,24.5,Trent Richardson - BIR
WR1,Rashad Ross - ARI,7.6000000000000005,2.0,Alonzo Moore - SA
WR2,Mekale McKay - SA,13.2,19.0,Jalin Marshall - ORL
FLX1,Terrell Watson - SD,18.5,7.0,D'Ernest Johnson - ORL
TE1,"Wes Saxton, Jr.  - BIR",4.4,2.7,Gavin Escobar - SD
DST1,ORL,0,5,BIR
K1,Nick Folk - ARI,5.0,0.0,Younghoe Koo - ATL
Total Score,,77.56,77.92,
,,,,
BE1,Joel Bouagnon - SL,6.0,0.0,Kameron Kelly - SD
BE2,De'Veon Smith - ORL,3.9000000000000004,0.0,Josh Huff - Josh Huff
BE3,Trey Williams - SA,3.9000000000000004,3.4,Brian Brown - SD
