,Ryan,home_score,away_score,Paul
QB1,John Wolford - ARI,15.88,18.22,Garrett Gilbert - ORL
RB1,Tarean Folston - ATL,10.6,12.6,"Kenneth Farrow, II - SA"
WR1,Charles Johnson - ORL,10.8,6.800000000000001,Seantavius Jones - ATL
WR2,Malachi Jones - ATL,5.0,9.3,Quinton Patton - BIR
FLX1,Jhurell Pressley - ARI,19.1,0.0,Branden Oliver - SL
TE1,Nick Truesdell - SL,15.2,0.0,Brandon Barnes - MEM
DST1,Fleet,0.0,0.0,EXPRESS
K1,Nick Novak - BIR,5.0,3.0,Elliott Fry - ORL
Total Score,,92.48,57.120000000000005,
,,,,
BE1,Kenny Bell - SL,0.9,4.0,Aaron Murray - ATL
BE2,Nelson Spruce - SD,3.8000000000000003,0.0,Brandon Ross - BIR
BE3,Ja'Quan Gardner - SD,6.2,3.2,Akeem Hunt - ORL
