Position,Mckaig,Ryan,Paul,Bosse
QB1,Josh Woodrum - SA,John Wolford (Arizona Hotshots) - QB,Garrett Gilbert - ORL,Zach Mettenburger - express
RB1,TRENT RICHARDSON- Iron RB,JHURREL PRESLEY (Arizona Hotshots) - RB,Kenneth Farrow II- Commanders RB,ZAC STACY- Express RB
WR1,Alonzo Moore WR Commanders,CHARLES JOHNSON (Orlando Apollos) - WR,SEANTAVIOUS JONES- Legends WR,Rashad Ross- WR Hotshots
WR2,Jalin Marshall- Apollos WR,Malachi Jones,BRANDEN OLIVER- RB Stallions,MEKALE MCKAY- Commanders WR
FLX1,D'ERNEST JOHNSON- apollos rb,JAQUAN GARDNER (San Diego Fleet) - RB,QUINTON PATTON- Iron WR,TERELL WATSON- Fleet RB
TE1,GAVIN ESCOBAR- fleet te,Nick Truesdale- TE,Brandon Barnes- Express TE,Wes Saxton
DST1,Iron,Fleet,EXPRESS,APPOLOS
K1,YUNGHO KOO- Legends,NICK NOVAK (Birmingham Iron) - K,ELLIOTT FRY- Apollos K,NICK FOLK- Hotshots K
BE1,KAMERON KELLEY,KENNY BELL (Salt Lake Stallions) - WR,Aaron Murray - Legends,JOEL BOUAGANON
BE2,Josh huff hotshots wr,Nelson Spruce(San Diego Fleet) - WR,Brandon Ross Iron RB,Deveon Smith
BE3,Brian Brown,JHURREL PRESLEY (Arizona Hotshots) - RB,AKEEM HUNT- Apollos RB,Trey Williams
